3OH!3 ft. Kesha	My First Kiss
Regard, Troye Sivan, Tate McRae	You
Remy Ma	Ooouuu
Rich Homie Quan	Flex (Ooh Ooh Ooh)
Rich The Kid	Splashin
Rich The Kid	Plug Walk
Rick Ross ft Drake & French Montana	Stay Schemin'
Rick Ross ft. Dr Dre & Jay-Z	3 Kings
Rick Ross ft. Lil Wayne	Thug Cry
Rick Ross ft. Nicki Minaj	You the Boss
Rico Love	They Don't Know
Rihanna	Sex With Me
Rihanna	Kiss It Better
Rihanna	Love On The Brain
Rihanna	Needed Me
Rihanna	Bitch Better Have my Money
Rihanna	You Da One
Rihanna feat. Drake	Work
Rihanna feat. Drake	What's My Name?
Rihanna feat. Mikky Ekko	Stay
Rihanna ft. Chris Brown & Rick Ross	Birthday Cake
Rihanna Ft. Future	Love Song
Rihanna ft. Slash	Rockstar 101
Riton, Nightcrawlers	Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit
Riton, Oliver Heldens	Turn Me On (feat. Vula)
Robert DeLong	Long Way Down
Robin Schulz	All We Got (feat. KIDDO)
Robin Thicke Feat Kendrick Lamar	Give it to You
Robin Thicke feat. T.I. and Pharrell	Blurred Lines
Rocko feat. Future and Rick Ross	U.O.E.N.O.
Rod Wave 	Heart On Ice
Rod Wave Featuring ATR Son Son	Rags2Riches
Roddy Ricch	Late At Night
Roddy Ricch	Start Wit Me (feat. Gunna)
Roddy Ricch	Tip Toe (feat. A Boogie Wit da Hoodie)
Roddy Ricch 	The Box
Roddy Ricch Featuring Mustard	High Fashion
Russ Millions, Tion Wayne	Body
Russ Splash	Gun Lean
Ryn Weaver	OctaHate
Sage the Gemini ft. IamSu!	Gas Pedal
Sage The Gemini ft. Nick Jonas	Good Thing
SAINt JHN 	Roses
Sak Noel & DJ Kuba & Neitan feat. Mayra Veronica	No Boyfriend
Sam London Ft Nile Rodgers,Tripp Caimbridge	Move Your Body
Saweetie	Best Friend (feat. Doja Cat)
Saweetie	Tap In (feat. Post Malone, DaBaby & Jack Harlow)
Saweetie	My Type
ScHhoolboy Q	Man of the Year
ScHoolboy Q ft. the Chicago Kid	Studio
Scoop Deville ft. Demrick and Asher Roth	N Doe Smoke
Sean Kingston ft. Cher Lloyd	Rum and Raybans
Selena Gomez	Same Old Love
Selena Gomez ft. A$AP Rocky	Good for You
Sensato ft. Pitbull & Sak Noel	Crazy People
Shakira ft. Dizzee Rascal	Loca
Sheck Wes	Mo Bamba
Sir Mix A lot	Baby Got Back
Ski Mask the Slump God	Nuketown
Skrillex ft. Sirah	Bangarang
Sky ft. J Balvin Madein Tyo and Jhay Cortez	Bajo Cero
Skylar Grey ft. Eminem	C'mon let me Ride
Sleepy Hallow	2055
Sleepy Hallow, Fousheé	Deep End Freestyle
Smiley	Over The Top (feat. Drake)
SmokePurpp	But I still Respect women
Snakehips Ft. Tinashe & Chance the Rapper	All My Friends
Snoop Dog ft. Pharell Williams	Drop it Like it's Hot
Snoop Dogg	Sweat
Snoop Dogg	I Wanna Rock
Snoop Dogg and Wiz Khalifa feat. Bruno Mars	Young, Wild and Free
Snoop Dogg ft. T-Pain	Boom
Snoop Dogg ft. The Dream	Gangsta Luv
Solo Lucci	Cash Money
SoMo	Ride
Spose	I'm Awesome
StarBoi3	Dick (feat. Doja Cat)
STASH	Tear Me Down
StaySolidRocky	Party Girl
Stormzy	Shut Up
SZA	Good Days
SZA	Passport
SZA, The Neptunes, Pharrell Williams, Ty Dolla $ign	Hit Different
T-Pain feat. Wiz Khalifa and Lily Allen	5 O'Clock
T-Pain ft. B.o.B.	Up Down (Do this all Day)
T-Wayne	Nasty
T. Mills	All I Wanna Do
T.I. Ft. Iggy Azalea	No Mediocre
T.I. Ft. Kanye West	Welcome to the World
T.I. Ft. Lil Wayne	Ball
Taio Cruz	Dynamite
Takeoff	Vacation
Takeoff ft. Quavo	She Gon Wink
Tame Impala	Borderline
That Poppy	Lowlife
The 1975	Girls
The Kid LAROI	ALWAYS DO
The Kid LAROI	GO (feat. Juice WRLD)
The Kid LAROI	SO DONE
The Kid LAROI	STAY (with Justin Bieber)
The Kid LAROI	TELL ME WHY
The Kid LAROI	TRAGIC (feat. Youngboy Never Broke Again & Internet Money)
The Kid LAROI	WITHOUT YOU (with Miley Cyrus)
The Lonely Island Ft. Adam Levine & Kendrick Lamar	YOLO
THE SCOTTS, Travis Scott & Kid Cudi	The Scotts
The Script	If you could see me now
The Vamps	Can We Dance
The Weeknd	Escape From LA
The Weeknd	Repeat After Me (Interlude)
The Weeknd	Save Your Tears (with Ariana Grande) (Remix)
The Weeknd	Snowchild
The Weeknd	Acquainted
The Weeknd	Earned it (50 shades of Grey)
The Weeknd	Often
The Weeknd	The Hills
The Weeknd	Wicked Games
The Weeknd 	Heartless
Theory of a Deadman	Blow
Tiesto	The Business
Timbaland ft. Justin Timberlake	Carry Out
Timbaland ft. Magoo and Missy Elliott	Cop That Sh*t
Timbaland ft. Pitbull & David Guetta	Pass At Me
Timeflies	Once In A While
Timeflies	Monsters
Tinashe	Superlove
Tinashe & Chris Brown	Player
Tinashe & Iggy Azalea	All Hands On Deck (Remix)
Tinashe Ft Schoolboy Q	2 On
Tinie Tempah feat. Eric Turner	Written In The Stars
Tinie Tempah ft. Labrinth	Lover Not a Fighter
Tinie Tempah ft. Wiz Khalifa	Till I'm Gone
TOMORROW X TOGETHER, Seori	0X1=Lovesong (I Know I Love you)
Topic, A7S	Breaking Me
Tory Lanez	Broke In A Minute
Tory Lanez	Stupid Again
Tory Lanez	The Take (feat. Chris Brown)
Tory Lanez	Talk to Me
Tory Lanez	Luv
Tove Lo	Cool Girl
Tove Lo	True Disaster
Tove Lo	Moments
Tove Lo	Talking Body
Travie Mccoy ft. Sia	Golden
Travis Mills ft Tftift	Young & Stupid
Travis Scott	BUTTERFLY EFFECT
Travis Scott	FRANCHISE (feat. Young Thug & M.I.A.)
Travis Scott	SICKO MODE
Travis Scott	STARGAZING
Travis Scott	The Plan - From the Motion Picture "TENET"
Travis Scott	goosebumps
Travis Scott	YOSEMITE
Travis Scott	Antidote
Travis Scott 	HIGHEST IN THE ROOM
Trey Songz	Na Na
Trey Songz	Simply Amazing
Trey Songz	Heart Attack
Trey Songz feat. Nicki Minaj	Bottoms Up
Trey Songz ft. Lil Wayne & Young Jeezy	Hail Mary
Trinidad James	All Gold Everything
Trippie Redd	Miss The Rage (feat. Playboi Carti)
Trippie Redd	6 Kiss
Trippie Redd	Who Needs Love
Trippie Redd, DaBaby	Death
Trippie Redd, Lil Uzi Vert	Holy Smokes
Trippie Redd, PARTYNEXTDOOR	Excitement
Ty Dolla $ign	Ego Death (feat. Kanye West, FKA twigs & Skrillex)
Ty Dolla $ign	Spicy (feat. Post Malone)
Ty Dolla $ign feat. Future & Rae Sremmurd	Blase
Ty Dolla $ign ft. B.o.B	Paranoid
Tyga	Ayy Macarena
Tyga	VACATION
Tyga	Floss in the Bank
Tyga	Taste
Tyga	Rack City
Tyga ft. G-Eazy and Rich the Kid	Girls Have Fun
Tyla Yaweh	Tommy Lee (feat. Post Malone)
Tyler, The Creator	CORSO
Tyler, The Creator	EARFQUAKE
Tyler, The Creator	HOT WIND BLOWS (feat. Lil Wayne)
Tyler, The Creator	JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)
Tyler, The Creator	LEMONHEAD (feat. 42 Dugg)
Tyler, The Creator	LUMBERJACK
Tyler, The Creator	MANIFESTO (feat. Domo Genesis)
Tyler, The Creator	MASSA
Tyler, The Creator	RISE! (feat. DAISY WORLD)
Tyler, The Creator	RUNITUP (feat. Teezo Touchdown)
Tyler, The Creator	SIR BAUDELAIRE (feat. DJ Drama)
Tyler, The Creator	SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)
Tyler, The Creator	WILSHIRE
Tyler, The Creator	WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)
Usher feat. Pitbull	DJ Got Us Fallin' In Love
Usher feat. Young Thug	No Limit
Usher Ft. Juicy J	I Don't Mind
Usher ft. Nicki Minaj	She came to Give it to You
Vedo	You Got It
VIZE, Tom Gregory	Never Let Me Down
Waka Flocka Flame feat. Roscoe Dash and Wale	No Hands
Waka Flocka Flame ft. Nicki Minaj	Get Low
Wale feat. Jeremih	On Chill
Wale feat. Tiara Thomas or Rihanna	Bad
Wale ft Jeremih & Rick Ross	That Way
Wale ft Meek Mill & Rick Ross	Ambition
Wale ft. Rick Ross, Lil Wayne, Omarion, T-Pain , You Gotti, Black Cobain & French Montana 	Bag of Money
Wallows	Are You Bored Yet? (feat. Clairo)
Walter French	Lunch
Weeknd feat. Daft Punk	Starboy
WhoHeem	Lets Link
Will I Am ft. Miley Cyrus, Wiz Khlifa & French Montana	Feeling Myself
Will.I.Am	GEEKIN'
Will.I.Am	Heartbreaker
Will.I.Am	One More Chance
Will.I.Am	S.O.S.(mother nature)
will.i.am and Britney Spears	Scream and Shout
Will.I.Am ft. Mick Jagger & Jennifer Lopez	T.H.E.[The Hardest Ever]
Will.I.Am ft. Snoop Dogg	The Donque Song
Wiz Khalifa	I go Hard
Wiz Khalifa	We Dem Boyz
Wiz Khalifa	Work Hard, Play Hard
Wiz Khalifa	Roll Up
Wiz Khalifa ft. 2 Chainz	It's Nothing
Wiz Khalifa ft. Snoop Dogg, Juicy J & T-Pain	Black And Yellow
Wiz Khalifa ft. The Weeknd	Remember You
XXXTENTACION	changes
XXXTENTACION	Everybody Dies In Their Nightmares
XXXTENTACION	Hope
XXXTENTACION	Riot
XXXTENTACION	bad vibes forever
XXXTENTACION	Jocelyn Flores
Xxxtentacion	Moonlight
Xxxtentacion	SAD!
Xxxtentacion  feat. Maluma & Swae Lee	Arms Around You
Y2K & Bbno$	Lalala
Yazz and Serayah McNeill	Drip Drop
YG	Big Bank
YG Ft. Jeezy & Rich Homie Quan	My Hitta
Ying Yang Twins	Wait [The Whisper Song]
YNW Melly	223's (feat. 9lokknine)
YNW Melly	Murder On My Mind
YNW Melly & Juice WRLD	Suicidal
Yo Gotti feat. Nicki Minaj	Down In The Dm
Young Stoner Life, Young Thug, Gunna	Diamonds Dancing (feat. Travis Scott)
Young Stoner Life, Young Thug, Gunna	Ski
Young Stoner Life, Young Thug, Gunna	Solid (feat. Drake)
Young Thug	The London ft. J. Cole & Travis Scott
Young Thug	Best Friend
Young Thug Featuring Gunna 	Hot
Youngboy Never Broke Again	Valuable Pain
Youngboy Never Broke Again	Outside Today
Zara Larsson	Ruin my Life
Zayn Malik	PillowTalk
ZHU x Skrillex x THEY.	Working For It
